X,Y,Name,description
24.98816,35.41562,12-Oct,1
24.98816,35.41562,12-Oct,2
25.758577,35.251846,13-Oct,1
25.739887,35.231754,13-Oct,2
25.75831,35.251892,13-Oct,3
24.39293,35.17217,14-Oct,1
24.409021,35.17072,14-Oct,2
24.441713,35.154884,14-Oct,3
24.419214,35.166004,16-Oct,1
24.392876,35.177162,16-Oct,2
24.355742,35.183475,16-Oct,3
24.590063,35.008705,18-Oct,1
24.580944,35.001724,18-Oct,2
24.597233,35.00729,18-Oct,3
25.758797,35.25428,19-Oct,1
25.738451,35.230244,19-Oct,2
25.731836,35.22478,19-Oct,3
25.019144,35.416767,20-Oct,1
25.02150683,35.41495036,20-Oct,2
25.02178779,35.41471135,20-Oct,3
23.595228,35.232037,22-Oct,1
23.600225,35.232307,22-Oct,2
