lon,lat,Date,Site,TransID,TripID,Location,Start,End,Sea cond,Country,Project,Reserve,First Observer,Second Observer,SiteID,Transect,Depth Start,Depth End,Time Start,Time End,Photos,Logger,Notes,Observer,Species,Confidence,Amount,Length,Distance,numeric_id,Observer_Name,Season,Year,Mean_Depth,Depth_Category
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Diplodus vulgaris,1,1,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Diplodus vulgaris,1,1,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Diplodus vulgaris,1,1,4,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Diplodus vulgaris,1,1,18,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Diplodus vulgaris,1,1,8,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Thalassoma pavo,1,4,10,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Thalassoma pavo,1,1,3,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Thalassoma pavo,1,1,4,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Thalassoma pavo,1,5,6,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Thalassoma pavo,1,1,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
