lon,lat,TransID,Observer,Depth Start,Depth End,Species,Confidence,Amount,Length,Depth_Category,Notes
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Diplodus vulgaris,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Diplodus vulgaris,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Diplodus vulgaris,1,1,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Diplodus vulgaris,1,1,18,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Diplodus vulgaris,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Thalassoma pavo,1,4,10,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Thalassoma pavo,1,1,3,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Thalassoma pavo,1,1,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Thalassoma pavo,1,5,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Thalassoma pavo,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Coris julis,1,1,18,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Coris julis,1,4,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Coris julis,1,6,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Coris julis,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Coris julis,1,1,12,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Chromis chromis,1,30,1,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Chromis chromis,1,12,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Chromis chromis,1,1,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Chromis chromis,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Chromis chromis,1,300,3,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,1,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,6,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,4,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,1,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,10,5,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Apogon imberbis,1,12,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,12,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,18,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,12,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,10,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,10,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Serranus cabrilla,1,1,12,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Mullus surmuletus,1,1,12,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Mullus surmuletus,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Gobius bucchichi,1,1,10,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Gobius bucchichi,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Siganus luridus,1,2,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Siganus luridus,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Siganus luridus,1,2,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Siganus luridus,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Symphodus mediterraneus,1,1,15,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Symphodus mediterraneus,1,1,8,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Symphodus mediterraneus,1,1,4,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Epinephelus costea,1,1,18,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Spicara maena,1,500,6,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Sparisoma cretense,1,4,5,deep,NA
24.98816,35.41562,ASSECret1210191SMSS_A,first,24.4,24.4,Sparisoma cretense,1,1,6,deep,NA
